eu_priority,secondary_index,decile,country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Agriculture and Food,Nutrition need,1,LT,0.7205134888956533,0.7188968907288211,0.7264047091614934,0.5739422230107902,0.5806207006368073,0.5637381229145684,0.6011386746332262,0.550500187895969,0.6018572974292848,0.5236158131526103,0.7158775521713517,0.4702179223571332,0.6242872058758095,0.5613851563269496,0.6576885465627251,0.580995586438211,0.5792230002700877,0.5384300269254152,0.67498916907154,0.5450655941081255
Agriculture and Food,Nutrition need,1,LU,0.07289535355988518,0.051482947138018036,0.047675694003126656,0.06730997205982281,0.03423836414387671,0.07167399275394382,0.05997033124382088,0.0727172227211804,0.02459983850409886,0.12173292845235131,0.05563742286448081,0.0881061971101974,0.10286519477175182,0.07686681855119847,0.055322212257446046,0.11761672313352768,0.10578746995010467,0.12473803994556767,0.19985723386776497,0.2106887537468041
Agriculture and Food,Nutrition need,1,LV,0.7907067593034868,0.7894961711147995,0.7509237952914621,0.7548925906894766,0.6684022020018041,0.5875264438236395,0.6589540990609881,0.6808229218924065,0.6061517245475012,0.5971987405456836,0.6715861362017097,0.6166158097809429,0.6404852012279496,0.5485355572688455,0.5147194490787554,0.47895069275681246,0.4713383739700172,0.4292730304254434,0.5975317709201297,0.5069401159850677
Agriculture and Food,Nutrition need,1,MT,0.06639016801696342,0.06099000778398266,0.07130745993769681,0.08610530336670918,0.2010650005309783,0.263060638200877,0.3173793736818995,0.23149480349041165,0.22112912463663945,0.2753922893694334,0.4594395897346888,0.3469707277716533,0.15881490029452028,0.18076657543279473,0.13588369022435487,0.12757284636595,0.2177647773864474,0.15969777313734235,0.27875939714912595,0.286863372964011
Agriculture and Food,Nutrition need,1,NL,0.03725089881470878,0.031682192024725886,0.04600495506187218,0.05085736458179601,0.013729720268315647,0.03886686154287211,0.06682440849780223,0.04932137757874776,0.05482147805169857,0.04615444636666465,0.015851576263916645,0.0010000000000000002,0.0823649060800622,0.0009688489551673564,0.05557013248703069,0.09072020367052037,0.05436668274612931,0.08708599895146506,0.1249847957755531,0.2031065443186647
Agriculture and Food,Nutrition need,1,NO,0.07629521191141142,0.05806646209566225,0.06841603695627883,0.0916833791104874,0.03621761372312204,0.05981824471483355,0.07932011920782367,0.1085200607442901,0.07342778672357964,0.08590324160557505,0.04863218967093052,0.08495523553299422,0.15280832717655843,0.18058311701023597,0.09304152124184505,0.17501553296091532,0.20098481137484203,0.09197412684648255,0.05373942333104543,0.10789841099483334
Agriculture and Food,Nutrition need,1,PL,0.7177851228431824,0.7161527433367021,0.6508081756251045,0.6381038682702413,0.5287217171354305,0.5533559987352659,0.5468489972486228,0.4683531157345905,0.48950031481738376,0.4794455125700291,0.5349752736199379,0.3797786450671816,0.3550809910596311,0.3724814306241989,0.29818628817790344,0.28929422275038286,0.21339237207706985,0.2877528766870576,0.2499788775070241,0.22138635569808296
Agriculture and Food,Nutrition need,1,PT,0.08950138090538685,0.06819593874129902,0.10316518387167638,0.07834758714504551,0.11267343526679151,0.13425856853432072,0.09706476617500039,0.08040277037655197,0.04921673544466731,0.06330805525523997,0.1277386319351812,0.0877363364596626,0.11773434397237124,0.11108759382415814,0.08657907134014019,0.08272855761949395,0.13363844811559156,0.13102133630225277,0.16332244186194744,0.11887245374601951
Agriculture and Food,Nutrition need,1,RO,0.6013223193922481,0.5990162989511159,0.6034221414706695,0.609741237193713,0.4269890343529503,0.5206329923943559,0.5057287718040597,0.5054980384511887,0.5009562898916178,0.48793207751066014,0.5769189837546058,0.5445016669442069,0.5601886907478812,0.5545968414241633,0.5577966854751921,0.586636929529023,0.5868648889897197,0.758138705545653,0.8758420289969455,0.7957012574621861
Agriculture and Food,Nutrition need,1,RS,0.6393822581369519,0.6372963829434787,0.6412816197843864,0.6469974602768528,0.6080769488059573,0.6539203627256571,0.6664572684748103,0.644374405485529,0.6400366662202919,0.6426282247788275,0.7548286260949995,0.7120215768646869,0.6109945929044462,0.6606872744205612,0.7005982070292296,0.8014173294891899,0.877605730903488,0.9867027483475677,0.8503518262628107,0.8451249044947003
Agriculture and Food,Nutrition need,1,SE,0.13348642332572128,0.07293637736692714,0.03716485502840038,0.05565430390908354,0.022103372259288268,0.07623751879258245,0.04708101768244654,0.06015244652184703,0.021607337692921228,0.05799399952261286,0.013436643286637186,0.019795193944014636,0.03282181370214665,0.03708100739508834,0.07140083479580704,0.12688836430779002,0.0752534659615337,0.12185497623160646,0.1259374991451323,0.13249463455133725
Agriculture and Food,Nutrition need,1,SI,0.2917343210603829,0.2876375902604611,0.32744274057388156,0.35705330009575087,0.3748894571642334,0.4173531372197866,0.2939544265664853,0.2669959126285628,0.3213785530389016,0.32107913266507154,0.3796406862180587,0.2779227345340378,0.2597601889363791,0.28314822959620417,0.3043012136645502,0.19780046224243245,0.19871507654818277,0.16556614342095355,0.23226334156717524,0.2645206398881932
Agriculture and Food,Nutrition need,1,SK,0.5333938643555476,0.5306949340188567,0.6082330665163777,0.6735500332091766,0.599441462834212,0.60171449113788,0.5820261435475055,0.65482104346153,0.6239776533783314,0.5678328974052367,0.6894285377315397,0.6090579116671597,0.6558104900595536,0.6242697160739846,0.6935210117595638,0.5897279053996851,0.5494304739226122,0.5593609685047765,0.7436496183238384,0.8235829322092598
Agriculture and Food,Nutrition need,1,UK,0.09851492050071076,0.0933005753747632,0.0990341539705434,0.0661628676172188,0.039891186265443745,0.09112821147432905,0.08501703771566547,0.07666728407035428,0.18595695472003862,0.19716477030266502,0.247815815370401,0.12083371532971353,0.1837051798341103,0.13893711973801326,0.14844822672735525,0.17421927943800442,0.1636199376957338,0.20973921040223664,0.2176892222773723,0.21635113550027296
Agriculture and Food,Nutrition need,2,AT,0.2062104758690615,0.153135230806372,0.19094324433680906,0.17252018009664818,0.3252810224941214,0.22479688314027124,0.252863576915873,0.15875680888870403,0.17281481143238606,0.18260663899475615,0.22140704827862442,0.21754382525775337,0.1472600903698419,0.17168766341046202,0.17949397902358633,0.19094332457991262,0.17201548702116073,0.179839540063521,0.29920148519653816,0.250305131674465
Agriculture and Food,Nutrition need,2,BE,0.060761176555225845,0.07017070511940304,0.08964958039678317,0.09480941992319501,0.11935261879987336,0.06934622428441205,0.1208361205044838,0.08145232584939842,0.106063750712051,0.12879359566777848,0.12526598997953556,0.17089209004749695,0.12929200614235256,0.15631718242572312,0.16790306903859553,0.11763538320992141,0.12049248132713518,0.17197711904794633,0.20380005472323115,0.15502918691597478
Agriculture and Food,Nutrition need,2,BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8965134063731842
Agriculture and Food,Nutrition need,2,CH,0.026980321019407286,0.03261908791699763,0.009839706691679443,0.028684582284701058,0.0010000000000000002,0.014849214966275,0.016658017469572413,0.0010000000000000002,0.0084136346631275,0.0010000000000000002,0.00013220097221233734,0.0010000000000000002,0.0010000000000000002,0.01393553558509319,0.09429592985341283,0.13629922656523752,0.07930402252594393,0.0684125975012625,0.09834071100949983,0.09170497623329477
Agriculture and Food,Nutrition need,2,CY,0.1616679581270859,0.1665261938534741,0.14721432288006187,0.22961776532347392,0.16692419086903995,0.11359519985162825,0.09250173535616522,0.06314844953715337,0.06868007671961864,0.13937105504064484,0.099244524378038,0.05518749453923022,0.045565379744415,0.05370745439896684,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002
Agriculture and Food,Nutrition need,2,CZ,0.3549444452251608,0.35868262029802456,0.24252727330559085,0.22761437264448703,0.23380231674663046,0.17138080699722577,0.2080801697226358,0.18647538046451329,0.2575339266037153,0.2777990459273654,0.23329088677857768,0.30085988252452434,0.25856886579132055,0.16521127890306608,0.15844653848222554,0.17324633446780768,0.16633297036769235,0.20088056068968874,0.22349623246942452,0.32430842598538717
Agriculture and Food,Nutrition need,2,DE,0.26126562646398255,0.2655466816384998,0.24051148750641305,0.29761486338273946,0.31529114556458543,0.2698497517429642,0.2979242122112784,0.3053962487566512,0.2642154883680228,0.2475295292548242,0.3036775788416164,0.32245981988787265,0.2766017368263285,0.3058637475282416,0.30830686596378987,0.2962017496712407,0.5186322490495651,0.5043567191591778,0.480429144987523,0.5524673798909047
Agriculture and Food,Nutrition need,2,DK,0.007078167156219787,0.01801510323097167,0.0010000000000000002,0.04343565126571047,0.014500761152429485,0.01051246064754141,0.05330143291393919,0.0038198241348631474,0.004744634918108502,0.04964377597040072,0.050085501474237744,0.03811230620235407,0.013836048333774161,0.051325701621912974,0.07396361093823667,0.10241031019947898,0.08270794648427482,0.10254252671969345,0.08546118858573594,0.15776263148804237
Agriculture and Food,Nutrition need,2,EE,0.5492309379004485,0.346004471854948,0.22912716897993554,0.16232305835501604,0.14446092357690254,0.14200965240847285,0.295630859598979,0.14438805711012914,0.21278875929221372,0.17487318288199905,0.14652271829755914,0.23231537109934983,0.10994178380413554,0.245324364033624,0.1313391006827153,0.1827666557249431,0.2094949285912422,0.14760186656776642,0.2837504327450372,0.3601306953262787
Agriculture and Food,Nutrition need,2,EL,0.1986312960657055,0.20327532477152144,0.1845144676138497,0.20003490759673312,0.20461644815087177,0.1270465668387909,0.2141748839194438,0.2066985356817843,0.3642916526473194,0.322824347899217,0.3229617932198263,0.37458330589703437,0.36653084397351265,0.37108665577968125,0.29752367417681125,0.46568883726506527,0.4465060664526439,0.494362728596187,0.5817569416002337,0.6607290314045816
Agriculture and Food,Nutrition need,2,ES,0.03784619866165506,0.031169832903364503,0.0187035283107162,0.021449399251079252,0.0294699021733611,0.008044097682851635,0.03985767541368534,0.022320114558787796,0.04622101833689663,0.027778554743663423,0.0010000000000000002,0.031217153989454897,0.03882987255311753,0.08386814865840643,0.05633870111734219,0.1073425181125479,0.17884203605390947,0.15463481170924698,0.19464606585265265,0.24525515905326742
Agriculture and Food,Nutrition need,2,FI,0.07946835770691463,0.06539750072394233,0.04180264869923122,0.07839992943270137,0.08289908985248096,0.05098102382039214,0.11775320779041731,0.06792282177668131,0.10057944345968582,0.12852291767531032,0.08346444190564006,0.10959005044640781,0.128681297718544,0.09197783603865638,0.1333689540951611,0.1924024793611416,0.1997300550679987,0.1699628112839704,0.15879399347775036,0.28999453150719356
Agriculture and Food,Nutrition need,2,FR,0.1586177601583818,0.15295160992685086,0.13307545104273663,0.13315651573714007,0.14895337482012305,0.1299866559346943,0.19377022802981747,0.14368185598485206,0.1462418901357727,0.16241051817101748,0.18416759631727217,0.2078006166334829,0.1881475837302321,0.22457835898960876,0.22655350058323556,0.35638734144438994,0.3229023577323942,0.34594978179096625,0.44309502478376384,0.6680676720188664
Agriculture and Food,Nutrition need,2,HR,0.3376649422777784,0.3415032541632179,0.32599731620052996,0.3388250339058375,0.3430855632700932,0.3353920714020085,0.37367476929578325,0.3893897596114756,0.37500720949578537,0.3065594291589583,0.37298481149001206,0.4861737645964709,0.40319875557021034,0.4441562226961123,0.4304390795571065,0.3433495925177823,0.4318861970956389,0.4053966579646574,0.4274618609805395,0.4108740512161737
Agriculture and Food,Nutrition need,2,HU,0.5644085118030143,0.566932817238533,0.5396535607423547,0.4614877375304248,0.48566733434440335,0.44883496875653117,0.4903812196556777,0.5789640091495767,0.6276790119623187,0.6427565383773539,0.656315329753455,0.5722313770036591,0.45034805785102194,0.4187495005648847,0.32315615478265103,0.3617477697095107,0.3899277912052642,0.6314929439157383,0.5340256764834497,0.8776761839551002
Agriculture and Food,Nutrition need,2,IE,0.056366530438909816,0.048822523017925445,0.027910478998597,0.029023862820043766,0.05021100848689708,0.03507643621315027,0.042774700553488754,0.025990190741177924,0.04156126963852714,0.03503105869962242,0.056406084929648256,0.08008327715687669,0.03163203625390764,0.0010000000000000002,0.03135631489672008,0.0917313204214092,0.035265851198320035,0.032213761370966876,0.04143074076952513,0.030901372234413027
Agriculture and Food,Nutrition need,2,IS,0.061059769307885696,0.07293068550373681,0.06982361979731189,0.11492119469685748,0.09737915320178823,0.09093005742445094,0.14789560700303916,0.11338808852531325,0.14922449191864395,0.10428652072873933,0.12136759417090946,0.16977635149503853,0.08584391423609673,0.1916699818449853,0.1033880531403766,0.21156371013752548,0.23178601291096465,0.26108417340089407,0.2468338608054228,0.2576786467553844
Agriculture and Food,Nutrition need,2,IT,0.11489728385980139,0.11448451820466553,0.08178019254926351,0.13316188212043056,0.12437628467309622,0.10602919888766214,0.1279969594314234,0.24815711153691375,0.35637418529159454,0.2527949602779286,0.2427212579563063,0.22713944819778364,0.3184150937653084,0.27605902298769147,0.25869770944778436,0.29290228883581426,0.28258185992321927,0.33433386456286895,0.3449700360484145,0.32720995899872707
Agriculture and Food,Nutrition need,2,LT,0.6928264647734643,0.6946065726167773,0.6404401100390388,0.3636801510724339,0.4618483015359529,0.5051540102728087,0.5603023568977468,0.47953669332191184,0.5271854158421581,0.4876759497271924,0.5120889928823622,0.4796068738084217,0.4502496223861111,0.6555283099942122,0.5278530772093462,0.47119171291599604,0.4636963964592288,0.47810632629102745,0.4656543859937685,0.5156245454489807
Agriculture and Food,Nutrition need,2,LU,0.0010000000000000002,0.0010000000000000002,0.01359126306381375,0.0010000000000000002,0.02312002708098737,0.0010000000000000002,0.0010000000000000002,0.006076543445281189,0.0010000000000000002,0.038601524296677736,0.04203378644732269,0.04830281763254074,0.04932761886809967,0.01707433245251522,0.05759076379122696,0.08540293562885792,0.11241686231985326,0.14797591330960266,0.11820049019861656,0.2219339206019033
Agriculture and Food,Nutrition need,2,LV,0.8488189213751839,0.8496950340377609,0.7421108292441891,0.7470190136790981,0.6640325008342309,0.52949058629394,0.6228953915207933,0.6547420528887244,0.5783552117030433,0.6021981959023567,0.6016131762778175,0.5495180713145407,0.49105835580712476,0.5124353252728082,0.46407745933320255,0.44050855086845053,0.4585790366742647,0.3787132649013718,0.5132582780786834,0.46694214273174917
Agriculture and Food,Nutrition need,2,MT,0.14145813655363193,0.14643349064397138,0.12633415161947262,0.14296188788992314,0.24811282108886312,0.19274330528548933,0.26559824109155283,0.17312439413977554,0.21201329693429213,0.20512574217488874,0.23742472237744616,0.2499300855581967,0.18894053728197835,0.14570628099347993,0.15372847519229604,0.1443032642093408,0.2447945175201024,0.3081977563876935,0.20409739487507284,0.3105022735770664
Agriculture and Food,Nutrition need,2,NL,0.06805665020179974,0.07345737479637025,0.06174295766715387,0.035993733988758714,0.040714237500495847,0.050857180131731246,0.07335560235419503,0.029156888236783085,0.06972576540495001,0.0992310558533196,0.08932234697978537,0.11237459838017216,0.09605662005913564,0.0854279192554761,0.15549732218084014,0.15167238557801643,0.17141864684758623,0.22891819485300477,0.18343215589181625,0.33686997453050904
Agriculture and Food,Nutrition need,2,NO,0.05759130399233425,0.08623600497130492,0.06471916694737823,0.0776240418536892,0.07140293162280355,0.05817209121883149,0.08938106064968354,0.051464559257458964,0.07586542344625424,0.07286749596471076,0.021747313539082987,0.09697951319277619,0.12308946984876476,0.13413948023007538,0.17177029267652422,0.17054972094395485,0.12753590682132085,0.25984552386820137,0.21742028344109524,0.19725493224996948
Agriculture and Food,Nutrition need,2,PL,0.7199733827146846,0.7215961708803329,0.5898848922383698,0.5017928154292035,0.4922650284612706,0.38828156312827344,0.4118369141176894,0.3181357798202783,0.33275653615478035,0.2746590658631831,0.2823685997148272,0.22197708339021374,0.178187823921922,0.17818233185152998,0.16893658276426485,0.15934793229094035,0.1434380090858982,0.17099561252822704,0.1673515969824051,0.16393031864407104
Agriculture and Food,Nutrition need,2,PT,0.08920834549647205,0.11215009565314658,0.0650385282081669,0.04027280623562712,0.054451717047983565,0.03911527576470353,0.055256024394070624,0.042209072897951054,0.03917421467894344,0.05297493705441635,0.06573789072317128,0.04936476290315838,0.04747922621356026,0.06020902546657392,0.047725048125799925,0.07777057230099693,0.06016153560850367,0.11899131536030662,0.09986768030525782,0.0791205710683317
Agriculture and Food,Nutrition need,2,RO,0.582755916348175,0.5851738963520083,0.5754057875965193,0.5834867267781201,0.4702836224913719,0.4504112999707436,0.4872414938630404,0.42429391332971644,0.4684987297096611,0.5118522701378887,0.6062449408180101,0.6515921115117802,0.6017573974367937,0.5395456206681992,0.5118054804411645,0.5315740507947071,0.5963638670479384,0.7873408307173533,0.7865439666582392,1.0
Agriculture and Food,Nutrition need,2,RS,0.6837987346930106,0.6856311593256317,0.6782285658098437,0.6843525668303668,0.6878139168334454,0.6902262606056698,0.7466229370860555,0.6879071575361357,0.6926280350753422,0.6822331580197067,0.7859069342759862,0.788380655677772,0.7726538013006017,0.8384245601389574,0.6850125969725884,0.6694119538156575,0.7357677112526393,0.9505375082375392,0.7106943390475875,0.776144490397269
Agriculture and Food,Nutrition need,2,SE,0.22055203798358167,0.21772615027458053,0.07183364663515146,0.09817771469806978,0.10255606832729848,0.0948314603547916,0.10417490423156772,0.05494585520128614,0.0963671249391529,0.08737355941894999,0.012224523897788834,0.07819591779459699,0.07201452593879955,0.11419836166544149,0.10531566011744496,0.08941649527576412,0.11415769181911206,0.10486162050361325,0.1304376878738016,0.2553472245132441
Agriculture and Food,Nutrition need,2,SI,0.20070656467736223,0.2053385669502047,0.2198405476174405,0.22786882989871027,0.2196786145296931,0.25383399577324683,0.21265415480789052,0.2560645157383127,0.21024242501117352,0.22845665685008232,0.1659351675145135,0.20261835952980214,0.16353005064943793,0.1615161863257767,0.22876573171357795,0.15857382570829037,0.17044357405053678,0.233202550881211,0.26018746764022727,0.1979781842779108
Agriculture and Food,Nutrition need,2,SK,0.5837092923733747,0.5861217474476634,0.6028427522136369,0.6308836431708595,0.5765010783967047,0.40243217843239587,0.4156015875551027,0.3489047475547724,0.44483385905622763,0.4616745427536434,0.5451724490084306,0.5218811090966882,0.4154546357250568,0.4165809322952956,0.44099370659385395,0.43375334029195667,0.33992456897660145,0.4862211559678019,0.5708408755409926,0.8044793940678424
Agriculture and Food,Nutrition need,2,UK,0.1257414630664837,0.13080789718337757,0.07407953102079767,0.07432501353195542,0.09865085572563816,0.04759433427197435,0.12165549997088777,0.11222375519641327,0.18098295639385964,0.15315674534833668,0.13277486662921065,0.17055616996862624,0.10908750005384937,0.148673385644981,0.12498502944383058,0.14516579179820377,0.16287507233774556,0.18235632201514598,0.1686294594631853,0.17026807219627316
Agriculture and Food,Nutrition need,3,AT,0.14727848263403875,0.11860247232960543,0.16005698736503382,0.15539213557787435,0.1711796371484161,0.20743909437629535,0.20125190035954632,0.14220386599027945,0.12053031750737495,0.15391390739432742,0.1770734710201658,0.14934363419518726,0.15741153965996524,0.10686359110078683,0.09413879334410846,0.09757338252122283,0.13070679881023115,0.09681303009278586,0.25224195569753016,0.1985545041264074
Agriculture and Food,Nutrition need,3,BE,0.09553132922103981,0.05418828786077457,0.05306693938993434,0.07999490585257572,0.07322382069766652,0.1221327436889027,0.131625988884995,0.09837417820285098,0.08785916942688654,0.06881039583524318,0.11938778735278897,0.05234762588561671,0.1506878817265728,0.14633173035747515,0.10135664328215166,0.10422776012349554,0.0787268641529162,0.14910528051875002,0.1660660080382459,0.15635485860553977
Agriculture and Food,Nutrition need,3,BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Agriculture and Food,Nutrition need,3,CH,0.03221349021823083,0.029200595280182155,0.020137535063426748,0.04944910262404578,0.03784798631026931,0.03607703622445679,0.040177962304005395,0.005548784967268296,0.027216496231989074,0.010369092123363897,0.0010000000000000002,0.0010000000000000002,0.01853701113719874,0.00040114128183466036,0.0289648208077935,0.022745390926703916,0.05812528601987089,0.08087474660576745,0.044703349649836466,0.048235739678226024
Agriculture and Food,Nutrition need,3,CY,0.0762110131002023,0.07333509043097318,0.08360018083187805,0.20225596769053625,0.11530028711207564,0.12770133343959508,0.09577613410981511,0.10957676742421266,0.07346138526385615,0.11959073870571034,0.09815907405753334,0.052913253991219614,0.0326102493676218,0.07223927363648985,0.03313763415826987,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.022911703321342514
Agriculture and Food,Nutrition need,3,CZ,0.2686836868215636,0.2664069664955233,0.357391469385709,0.29640927112994075,0.21715713108671097,0.2121524774099102,0.19552484395871939,0.14689364693184404,0.2255645383232955,0.2734908522823851,0.2865898419251469,0.32887545544464414,0.30726815911453637,0.20465869170787354,0.16269306785683588,0.1914050937423062,0.15106170563474852,0.16466443492384875,0.14824575435498552,0.2758097962798024
