Model,Scenario,Region,Sector,Variable_clean,Unit,2015,2040,2050
REMIND-MAgPIE 3.2-4.6,SSP2-1p5C-CCimp,India,Buildings - Residential and Commercial,Population,million,1322.8665,1602.4071,1650.7419
REMIND-MAgPIE 3.2-4.6,SSP2-1p5C-CCimp,Japan,Buildings - Residential and Commercial,Population,million,127.141,112.9753,106.2018
REMIND-MAgPIE 3.2-4.6,SSP2-1p5C-CCimp,Latin America and Caribbean,Buildings - Residential and Commercial,Population,million,622.5515,729.5408,744.9623
REMIND-MAgPIE 3.2-4.6,SSP2-1p5C-CCimp,Middle East and Africa,Buildings - Residential and Commercial,Population,million,477.7181,669.4447,724.7476
REMIND-MAgPIE 3.2-4.6,SSP2-1p5C-CCimp,Non-EU Europe,Buildings - Residential and Commercial,Population,million,111.6676,125.6939,127.3123
REMIND-MAgPIE 3.2-4.6,SSP2-1p5C-CCimp,Other Asia,Buildings - Residential and Commercial,Population,million,1180.0654,1478.0789,1541.598
REMIND-MAgPIE 3.2-4.6,SSP2-1p5C-CCimp,Russia and Former Soviet Union,Buildings - Residential and Commercial,Population,million,286.8903,290.345,289.3406
REMIND-MAgPIE 3.2-4.6,SSP2-1p5C-CCimp,Sub-Saharan Africa,Buildings - Residential and Commercial,Population,million,972.711,1688.2663,1959.0324
REMIND-MAgPIE 3.2-4.6,SSP2-1p5C-CCimp,United States,Buildings - Residential and Commercial,Population,million,320.739,369.427,387.1595
REMIND-MAgPIE 3.2-4.6,SSP2-1p5C-CCimp,"Canada, Australia, New Zealand",Buildings - Residential and Commercial,Energy Service,bn m2/yr,3.458,5.0952,5.6593
REMIND-MAgPIE 3.2-4.6,SSP2-1p5C-CCimp,China,Buildings - Residential and Commercial,Energy Service,bn m2/yr,64.6625,100.301,101.8745
REMIND-MAgPIE 3.2-4.6,SSP2-1p5C-CCimp,Europe,Buildings - Residential and Commercial,Energy Service,bn m2/yr,26.6618,31.0184,32.4458
REMIND-MAgPIE 3.2-4.6,SSP2-1p5C-CCimp,India,Buildings - Residential and Commercial,Energy Service,bn m2/yr,17.1945,37.1074,44.8531
REMIND-MAgPIE 3.2-4.6,SSP2-1p5C-CCimp,Japan,Buildings - Residential and Commercial,Energy Service,bn m2/yr,7.1718,7.2632,7.0428
REMIND-MAgPIE 3.2-4.6,SSP2-1p5C-CCimp,Latin America and Caribbean,Buildings - Residential and Commercial,Energy Service,bn m2/yr,20.8535,31.6381,35.9069
